CLAVE,LONGITUD,LATITUD,ORGANISMO_DE_CUENCA,SUBTIPO,GRUPO,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,ENTEROC_NMP_100mL,OD_PORC,OD_PORC_SUP,OD_PORC_MED,OD_PORC_FON,TOX_D_48_UT,TOX_V_15_UT,TOX_D_48_SUP_UT,TOX_FIS_SUP_15_UT,CALIDAD_DBO,CALIDAD_DQO,CALIDAD_SST,CALIDAD_COLI_FEC,CALIDAD_E_COLI,CALIDAD_ENTEROC,CALIDAD_OD_PORC,CALIDAD_OD_PORC_SUP,CALIDAD_OD_PORC_MED,CALIDAD_OD_PORC_FON,CALIDAD_TOX_D_48,CALIDAD_TOX_V_15,CALIDAD TOX_D_48_SUP,CALIDAD_TOX_FIS_SUP_15,SEMAFORO
DLAGU8,-102.33911,22.2473,6.0,22.0,1.0,1.0246311995193913,1.1389623778985443,1.003678304901222,1.0004311415626679,1.0000353736197132,1.0,1.0,2.1898960945897525,1.0,1.0,1.0,1.0,1.0,1.0,2,4,1,4,1,0,0,3,0,0,0,0,1,1,3
DLBAJ100,-109.8429,22.90473,10.0,21.0,0.0,1.0,1.0,1.0,1.0,1.0,1.006361317896425,1.0,3.6474381941956286,7.251015434606012,6.442321822189567,1.0,1.0,1.0,1.0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1
DLBAJ101,-109.86442,22.8988,10.0,21.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.6474381941956286,7.251015434606012,6.442321822189567,1.0,1.0,1.0,1.0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1
DLBAJ102,-109.88604,22.89609,10.0,2.0,0.0,1.0,1.0,1.0038853409199477,1.0,1.0,1.0,1.0,1.0,1.0,6.07861866274798,1.0,1.0,1.0,1.0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1
DLBAJ103,-109.89657,22.87694,10.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.010081386841703,1.0,3.7828735220351124,7.287571080422421,6.6605437178545195,1.0,1.0,1.0,1.0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1
DLBAJ104,-109.9025,22.88,10.0,2.0,0.0,1.0,1.0,1.0116241122705705,1.0,1.0,1.0,1.0,3.586169831601576,7.2363931762794484,6.574577516531963,1.0,1.0,1.0,1.0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1
DLBAJ105,-109.9054,22.8831,10.0,2.0,0.0,1.0,1.0,1.0038853409199477,1.0,1.0,1.0324018005133695,1.0,3.321748477248298,6.300568643379367,5.582659808963998,1.0,1.0,1.0,1.0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1
DLBAJ106W2,-110.23902,23.4393,10.0,15.0,0.0,1.0,1.0,1.0458116155879449,1.0,1.0,1.1484679516060365,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,0,0,2,0,0,4,0,0,0,4,0,0,0,1,3
DLBAJ109,-110.22379,23.45805,10.0,0.0,2.0,1.0,1.0,1.0229296928907337,1.0014395315000264,1.0001893660336072,1.0,4.067992599444958,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,2,4,2,0,1,0,0,0,1,1,0,0,2
DLBAJ112,-109.80786,23.43995,10.0,0.0,2.0,1.0,1.0,1.0149998407660217,1.0000692221937817,1.0,1.0,6.2909343200740055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,2,2,1,0,4,0,0,0,1,1,0,0,2
